Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2026-04-27,131,NABIL,Nabil Bank Limited,518,522,517.5,519.2,36199,18802312.9,518,562,471,2026-04-27T14:59:59.781003,519.2,506,519.41,140479.94
2,2026-04-27,132,NIMB,Nepal Investment Mega Bank Limited,212,212,202,204.8,180104,36496904.5,203.5,247,184.2,2026-04-27T14:59:58.40429,204.8,388,202.64,69895.36
3,2026-04-27,133,SCB,Standard Chartered Bank Limited,650,664.9,645,647.5,6877,4458438.1,650,712.6,594.9,2026-04-27T14:57:05.401356,647.5,90,648.31,65024.34
4,2026-04-27,134,HBL,Himalayan Bank Limited,203,208.1,203,207.1,46633,9654415.3,206.4,261,184,2026-04-27T14:59:42.247378,207.1,1336,207.02,46766.62
5,2026-04-27,135,SBI,Nepal SBI Bank Limited,410,410,405,409,20879,8528680.6,410,452,363,2026-04-27T14:59:58.478467,409,73,408.48,46360.66
6,2026-04-27,137,EBL,Everest Bank Limited,693.6,700,694,698,21090,14695732,693.6,780.6,610,2026-04-27T14:59:44.827343,698,198,696.81,95775.2
7,2026-04-27,139,NICA,NIC Asia Bank Ltd.,361.2,383,360,375,121835,44879846.3,361.2,428.4,304.5,2026-04-27T14:59:57.492013,375,353,368.36,55940.88
8,2026-04-27,140,MBL,Machhapuchhre Bank Limited,244.6,252.1,244.7,250,83238,20672740.9,244.6,284,205,2026-04-27T14:59:57.08537,250,181,248.35,30215.53
9,2026-04-27,141,LSL,Laxmi Sunrise Bank Limited,215,220,214,219.4,85020,18557845.8,215,252,201,2026-04-27T14:59:14.920975,219.4,266,218.27,58757.87
10,2026-04-27,142,KBL,Kumari Bank Limited,232,232,219,224,249646,55674813.7,223,256,175.5,2026-04-27T14:59:57.226206,224,587,223.01,58745.93
11,2026-04-27,145,SBL,Siddhartha Bank Limited,389.9,392.9,384.1,387.3,57106,22163241,389.9,424,261,2026-04-27T14:59:36.148231,387.3,146,388.1,57299.02
12,2026-04-27,147,SHL,Soaltee Hotel Limited,501,505.9,500,504.8,13686,6899697.3,501,619,464,2026-04-27T14:58:14.933941,504.8,61,504.14,59321.7
13,2026-04-27,148,TRH,Taragaon Regency Hotel Limited,752,755,742.5,748,1485,1119129.5,752,1086.3,681.1,2026-04-27T14:45:43.567685,748,25,753.62,14676.66
14,2026-04-27,149,OHL,Oriental Hotels Limited,700,709.9,698,698.5,1001,703000,700,1049.5,633.1,2026-04-27T14:59:38.166371,698.5,18,702.29,8273.7
15,2026-04-27,152,NHPC,National Hydro Power Company Limited,310,316,306,306.5,479172,148999727.2,312.5,340,178.6,2026-04-27T14:59:56.686577,306.5,1215,310.95,7559.63
16,2026-04-27,153,BPCL,Butwal Power Company Limited,682,694.8,678,679,10000,6821834.3,682,1065,420,2026-04-27T14:58:57.701436,679,117,682.18,23147.55
17,2026-04-27,154,CHCL,Chilime Hydropower Company Limited,479,483,476.1,480,33315,15974572.2,479,599.6,456,2026-04-27T14:59:37.043753,480,150,479.5,45527.95
18,2026-04-27,155,STC,Salt Trading Corporation,5770,5980,5770,5958,4522,26544685.1,5770,6335.9,4832,2026-04-27T14:59:53.271565,5958,91,5870.12,19108.32
19,2026-04-27,156,BBC,Bishal Bazar Company Limited,4888.8,4896,4780.1,4799,372,1791577,4888.8,6537,4480,2026-04-27T14:59:58.8004,4799,23,4816.06,192439.9
20,2026-04-27,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,679,680,672.1,678,2015,1366250.5,679,854.4,650,2026-04-27T14:59:31.840956,678,29,678.03,18595.4
21,2026-04-27,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,898,915,905,910,10195,9259883.2,898,1144.8,822,2026-04-27T14:59:39.57982,910,208,908.27,32917.11
22,2026-04-27,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,826.3,840,824,830,6232,5176195.1,826.3,1010,760.2,2026-04-27T14:59:41.475624,830,78,830.58,17057.45
23,2026-04-27,171,SANIMA,Sanima Bank Limited,349.5,359,349.4,351.8,66540,23436970.9,349.5,391,295,2026-04-27T14:59:59.836384,351.8,318,352.22,47779.81
24,2026-04-27,172,NABBC,Narayani Development Bank Limited,1198,1249,1198,1211,12715,15508113.4,1236,1835,662,2026-04-27T14:59:59.367251,1211,117,1219.67,6356.97
25,2026-04-27,176,NICL,Nepal Insurance Co. Ltd.,485.4,498.9,485.5,485.5,3588,1751470.3,485.4,836,477.2,2026-04-27T14:58:20.667915,485.5,71,488.14,12373.33
26,2026-04-27,177,RBCL,Rastriya Beema Company Limited,15350,15796,15201,15400,160,2450030,15350,16900,14350,2026-04-27T14:56:56.606394,15400,8,15312.68,41062.02
27,2026-04-27,178,NLICL,National Life Insurance Co. Ltd.,571,623.8,571,584,20711,12687989.4,580,691,539,2026-04-27T14:59:56.618308,584,67,612.62,33239.23
28,2026-04-27,179,HEI,Himalayan Everest Insurance Limited,515,516,505,515,6158,3137036.8,515,654,458,2026-04-27T14:59:53.347332,515,38,509.42,12875.81
29,2026-04-27,180,UAIL,United Ajod Insurance Limited,445.1,453,442.7,445,5838,2612796.7,445.1,644.4,422.1,2026-04-27T14:59:36.884388,445,89,447.54,11307.45
30,2026-04-27,182,SPIL,Siddhartha Premier Insurance Limited,745.5,745.5,707.2,709,1532,1085990.6,710,894.5,625,2026-04-27T14:56:44.935716,709,26,708.87,19898.44
31,2026-04-27,183,NIL,Neco Insurance Limited,615,615,605,613,2779,1700113.6,615,783.9,562,2026-04-27T14:59:49.385913,613,40,611.77,16994.07
32,2026-04-27,184,PRIN,Prabhu Insurance Ltd.,659.9,669,649,662,1652,1092236.7,659.9,960.3,630,2026-04-27T14:59:48.325537,662,25,661.16,12239.98
33,2026-04-27,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,597.5,610.9,595,599,4776,2850305.5,597.5,765.9,570.1,2026-04-27T14:59:59.994386,599,34,596.79,15709.6
34,2026-04-27,186,IGI,IGI Prudential insurance Limited,430,437.5,425.1,434,3406,1468210.9,430,600,392,2026-04-27T14:59:34.664797,434,36,431.06,13147.31
35,2026-04-27,187,NLIC,Nepal Life Insurance Co. Ltd.,770,777.9,765.1,771,12876,9922667,770,890,702,2026-04-27T14:59:23.020775,771,157,770.63,73092.35
36,2026-04-27,188,LICN,Life Insurance Corporation (Nepal) Limited,820,828,810,814.9,4752,3867698.9,820,998,773,2026-04-27T14:59:55.470055,814.9,62,813.9,44819.5
37,2026-04-27,192,SICL,Shikhar Insurance Co. Ltd.,653.1,653.1,617.1,620,2625,1628778.5,622,828,588.8,2026-04-27T14:59:48.890678,620,62,620.48,19229.72
38,2026-04-27,194,NFS,Nepal Finance Ltd.,591.5,600,593.6,596,7641,4560999.9,591.5,851,576,2026-04-27T14:59:41.560286,596,77,596.91,5000.11
39,2026-04-27,204,GUFL,Gurkhas Finance Ltd.,516.5,524.6,516,517,4496,2331478.5,516.5,644,460.6,2026-04-27T14:59:55.770244,517,53,518.56,4487.53
40,2026-04-27,210,CIT,Citizen Investment Trust,1772.4,1780,1765,1770,6121,10825694.1,1772.4,2168,1730.8,2026-04-27T14:59:36.621375,1770,124,1768.61,120462.63
41,2026-04-27,213,BNT,Bottlers Nepal (Terai) Limited,11790,11945,11790,11800,41,486038.9,11790,13205,10660,2026-04-27T14:54:10.941906,11800,5,11854.6,14278
42,2026-04-27,219,UNL,Unilever Nepal Limited,46220,46890,46220,46890,29,1360736,46220,50724,45000,2026-04-27T14:59:28.55815,46890,3,46921.93,43171.62
43,2026-04-27,227,BFC,Best Finance Company Ltd.,454,460,454,460,7020,3210525.8,454,579.9,411.5,2026-04-27T14:59:52.235155,460,52,457.33,4095.95
44,2026-04-27,232,GFCL,Goodwill Finance Limited,625,634.9,625,627,4752,2979665,625,756.8,528.3,2026-04-27T14:58:23.604272,627,54,627.03,5932.14
45,2026-04-27,235,HDL,Himalayan Distillery Limited,1146,1152,1140,1149,34572,39589615.2,1146,1556.1,1103,2026-04-27T14:59:38.109289,1149,510,1145.13,42376.06
46,2026-04-27,236,PFL,Pokhara Finance Ltd.,381.2,385,382,382,5451,2090376.6,381.2,475.5,352.8,2026-04-27T14:58:21.11027,382,65,383.48,4135.37
47,2026-04-27,238,NMB,NMB Bank Limited,257,257,240.6,245,13292,3244815.1,244.9,283,231,2026-04-27T14:58:46.690718,245,102,244.11,47248.35
48,2026-04-27,244,SIFC,Shree Investment Finance Co. Ltd.,550,563,546.2,546.3,3489,1924517.6,550,687.4,459,2026-04-27T14:59:58.03748,546.3,46,551.59,5463
49,2026-04-27,245,CFCL,Central Finance Co. Ltd.,505,510,503,505.9,3607,1825537.2,505,608.5,445.1,2026-04-27T14:58:14.189179,505.9,41,506.1,4800.36
50,2026-04-27,250,JFL,Janaki Finance Company Limited,413.1,417.4,413,417.4,2295,950468.8,413.1,558,395,2026-04-27T14:59:46.22353,417.4,20,414.14,2882.03
51,2026-04-27,255,PRVU,Prabhu  Bank Limited,201.3,203.9,200.3,202.4,99263,20079477,201.3,250.9,179.9,2026-04-27T14:59:44.493989,202.4,420,202.28,47650
52,2026-04-27,256,SFCL,Samriddhi Finance Company Limited,385,390,378.3,383.1,10785,4142578.1,385,565,359.4,2026-04-27T14:57:32.456758,383.1,49,384.1,3137.25
53,2026-04-27,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,467.9,474,461,466.5,1994,934667.3,467.9,557,393.1,2026-04-27T14:58:54.472796,466.5,27,468.73,4721.8
54,2026-04-27,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,752,752,725,730,3597,2624116.7,730,1046.5,711,2026-04-27T14:57:46.841656,730,47,729.52,12775
55,2026-04-27,273,ICFC,ICFC Finance Limited,622,630,622,625.8,3170,1983854.7,622,730.9,555,2026-04-27T14:58:38.069398,625.8,37,625.82,7406.16
56,2026-04-27,274,EDBL,Excel Development Bank Ltd.,581.8,583.9,577,579.9,5448,3154330.4,581.8,717.3,545,2026-04-27T14:59:57.802432,579.9,41,578.98,7246.98
57,2026-04-27,307,NTC,Nepal Doorsanchar Company Limited,870,885,860,871,15145,13162963.6,870,942.5,762.5,2026-04-27T14:58:52.308056,871,279,869.12,156780
58,2026-04-27,338,PROFL,Progressive Finance Limited,445,454.9,442.3,446,4358,1941820.1,445,589.2,421.4,2026-04-27T14:59:55.914757,446,24,445.57,3818.24
59,2026-04-27,341,GBIME,Global IME Bank Limited,232.5,235,232,235,74903,17476673.1,232.5,278.9,213,2026-04-27T14:59:49.02357,235,430,233.32,89572.25
60,2026-04-27,348,CZBIL,Citizens Bank International Limited,208,214.6,205,208.9,50472,10619841,208,240.1,183,2026-04-27T14:59:52.071394,208.9,162,210.41,32395.09
61,2026-04-27,357,PCBL,Prime Commercial Bank Ltd.,242.5,245,241,244,37096,9025472.3,242.5,290,226,2026-04-27T14:59:36.943896,244,152,243.3,51129.67
62,2026-04-27,358,LBBL,Lumbini Bikas Bank Ltd.,487,492,478,486,29199,14204198.1,487,646.3,376.5,2026-04-27T14:59:55.29114,486,109,486.46,17611.08
63,2026-04-27,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,280,285,280,283,88438,25040499.7,280,334,250.1,2026-04-27T14:59:49.984898,283,388,283.14,11434.34
64,2026-04-27,371,MDB,Miteri Development Bank Limited,593,600,593,597,3584,2146304,593,729.7,530.5,2026-04-27T14:51:58.932782,597,43,598.85,7266.09
65,2026-04-27,385,ALICL,Asian Life Insurance Co. Limited,458,459,451.3,458,16224,7400413.7,458,759,430,2026-04-27T14:59:54.846606,458,78,456.13,24050.58
66,2026-04-27,393,HLI,Himalayan Life Insurance Limited,348.4,352,346,347.4,49517,17209218.6,348.4,464,343.2,2026-04-27T14:59:55.220878,347.4,377,347.54,31763.61
67,2026-04-27,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,600,620,600,618,6988,4299675.4,613.9,807,600,2026-04-27T14:59:57.336345,618,62,615.29,8638.18
68,2026-04-27,397,ADBL,Agricultural Development Bank Limited,297.4,319,297.4,316,20187,6345818.5,313,344.9,272.3,2026-04-27T14:59:49.227543,316,155,314.35,45205.44
69,2026-04-27,401,MLBL,Mahalaxmi Bikas Bank Ltd.,369.8,373,368.8,369.7,16322,6035189.4,369.8,468.6,348.9,2026-04-27T14:59:47.539337,369.7,98,369.75,16678.21
70,2026-04-27,403,SJLIC,SuryaJyoti Life Insurance Company Limited,432,440,428.3,433.3,5764,2503321,432,489.9,390,2026-04-27T14:59:22.250193,433.3,183,434.3,21716.77
71,2026-04-27,417,GBBL,Garima Bikas Bank Limited,407,414,406,406,15574,6338762.4,407,498,367.4,2026-04-27T14:58:59.333721,406,94,407,24446.67
72,2026-04-27,418,JBBL,Jyoti Bikas Bank Limited,380,380,368,371.8,119030,44146539.9,372,413,295,2026-04-27T14:59:58.856477,371.8,294,370.88,16343.53
73,2026-04-27,450,CORBL,Corporate Development Bank Limited,2286.7,2768,2107.8,2768,56156,128878698.4,2407,2734.6,1431,2026-04-27T14:59:57.569037,2768,581,2295.01,14532
74,2026-04-27,459,KSBBL,Kamana Sewa Bikas Bank Limited,478,485,478,480,20989,10077081.2,478,588,404.1,2026-04-27T14:59:58.597803,480,89,480.11,18537.27
75,2026-04-27,469,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,165,165,153.3,157.9,10252,1575317,157.4,184.5,148,2026-04-27T14:57:41.434982,157.9,27,153.65,28907.61
76,2026-04-27,471,MPFL,Multipurpose Finance Company  Limited,624,628,614,628,26663,16540508.3,624,744,491,2026-04-27T14:59:47.403411,628,100,620.35,3832.06
77,2026-04-27,472,SADBL,Shangrila Development Bank Ltd.,414,421,414,416,10254,4281142.6,414,526.5,376,2026-04-27T14:59:57.728518,416,75,417.5,15533.73
78,2026-04-27,473,SHINE,Shine Resunga Development Bank Ltd.,402.1,407,402,404,17538,7075839.4,402.1,499,382,2026-04-27T14:59:52.731918,404,98,403.45,20288.77
