Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-05-22,131,NABIL,Nabil Bank Limited,499.5,503,494.6,499.55,71455,35662859.3,494.21,700,450,2025-05-22T14:59:55.358173,500,635,499.09,135163.24
2,2025-05-22,135,SBI,Nepal SBI Bank Limited,391,417,388.2,409.45,142310,57561117.7,390.42,549,282.3,2025-05-22T14:59:59.590663,410,354,404.47,44626.6
3,2025-05-22,137,EBL,Everest Bank Limited,640,651.8,636,642.19,96434,62097711.5,635.51,790,511,2025-05-22T14:59:59.359519,642.1,448,643.94,83129.53
4,2025-05-22,145,SBL,Siddhartha Bank Limited,288,305,288,298.47,160944,47697462,287.26,380,237,2025-05-22T14:59:59.671903,299,372,296.36,42054.36
5,2025-05-22,152,NHPC,National Hydro Power Company Limited,221.1,224.7,217.6,219.4,112464,24790228.8,221.66,290,136,2025-05-22T14:59:59.190644,219.2,375,220.42,5411.36
6,2025-05-22,153,BPCL,Butwal Power Company Limited,459,470,458,458.49,171894,79561057.9,459.17,555,286,2025-05-22T14:59:58.823765,458.1,369,462.84,15630.22
7,2025-05-22,154,CHCL,Chilime Hydropower Company Limited,490,494.1,482,486.11,29675,14490949.2,490,697,427,2025-05-22T14:59:56.507309,484,192,488.32,42692.11
8,2025-05-22,155,STC,Salt Trading Corporation,5020,5075,4990,5003.63,3070,15357225.9,5032.53,7000,4360,2025-05-22T14:59:34.840741,5010,108,5002.35,16047.5
9,2025-05-22,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,695,705,686,700.04,23483,16374009.6,684.15,930.2,649,2025-05-22T14:59:52.827728,697.1,222,697.27,18285.6
10,2025-05-22,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,885,902.5,885,899.91,47477,42576062.4,879.39,1155,815,2025-05-22T14:59:23.389236,899.9,348,896.77,28935.22
